codigo,nome,preco,quantidade
52,Carteira de Couro 251,350.19,49
53,Condicionador Hidratante 401,111.87,51
54,Feijao Carioca 898,679.32,29
55,Protetor Solar FPS 50 968,1538.12,37
56,Esponja Multiuso 463,1735.64,85
57,Chaveiro Metalico 460,1651.13,68
58,Desinfetante Floral 505,726.46,28
59,Esmalte Vermelho 421,1350.45,43
60,Vestido Floral 891,1935.33,64
61,Arroz Branco 303,1495.7,25
62,Bolacha Recheada 962,508.55,14
63,Jaqueta de Couro 844,899.39,92
64,Azeite de Oliva 601,76.02,70
65,Cinto Social 192,1894.25,66
66,Jaqueta de Couro 383,1487.16,93
67,Azeite de Oliva 168,1390.94,88
68,Meias de Algodao 724,1085.41,74
69,Condicionador Hidratante 115,1814.94,5
70,Leite Integral 467,363.01,34
71,Feijao Carioca 405,1708.82,91
72,Camiseta Basica 965,2001.9,24
73,Detergente Liquido 709,2278.34,92
74,Escova de Cabelo 110,1822.75,19
75,Pano de Microfibra 660,322.09,4
76,Colar Dourado 457,489.37,4
77,Colar Dourado 328,794.35,78
78,Cinto Social 178,1504.29,55
79,Escova de Cabelo 106,633.34,35
80,Esponja Multiuso 410,1360.61,45
81,Creme Hidratante 452,2005.03,57
82,Amaciante Concentrado 252,2426.72,65
83,Meias de Algodao 593,393.44,37
84,Sabao em Po 996,1301.07,64
85,Feijao Carioca 374,2225.95,24
86,Macarrao Espaguete 698,264.7,55
87,Perfume Masculino 507,1417.05,73
88,Bolacha Recheada 466,1798.4,63
89,Carteira de Couro 696,863.45,81
90,Escova de Cabelo 354,1526.03,11
91,Calca Jeans 858,447.4,95
92,Arroz Branco 667,1275.15,71
93,Bolacha Recheada 119,892.39,11
94,Mochila Escolar 685,2042.38,75
95,Bone 608,958.56,3
96,Carteira de Couro 863,1779.14,92
97,Chaveiro Metalico 938,1454.28,33
98,Escova de Cabelo 355,698.68,4
99,Camiseta Basica 791,946.52,60
100,Blusa de Frio 947,962.33,79
101,Achocolatado em Po 305,957.16,59
102,Azeite de Oliva 521,2368.72,66
103,Lustra Moveis 568,1811.17,90
104,Desinfetante Floral 217,651.79,93
105,Notebook 307,2311.81,65
106,Achocolatado em Po 855,815.02,54
107,Jaqueta de Couro 279,2037.01,14
108,Bermuda Esportiva 620,1692.74,66
109,Pulseira de Prata 152,509.71,14
110,Macarrao Espaguete 528,1113.18,96
111,Escova de Cabelo 264,1933.41,47
112,Perfume Masculino 382,1163.42,39
113,Bone 919,1907.15,24
114,Perfume Masculino 836,1465.56,17
115,Vestido Floral 831,780.51,55
116,Esmalte Vermelho 465,344.03,2
117,Notebook 729,2363.91,17
118,Achocolatado em Po 749,302.56,5
119,Lustra Moveis 836,968.58,90
120,Carteira de Couro 298,504.16,49
121,Leite Integral 375,246.1,63
122,Protetor Solar FPS 50 454,885.45,35
123,Teclado Mecanico 355,33.24,37
124,Mouse Gamer 662,548.02,62
125,Esponja Multiuso 798,2161.46,49
126,Fone de Ouvido Bluetooth 951,1939.83,60
127,Leite Integral 753,767.1,15
128,Carregador Portatil 160,155.61,78
129,Carregador Portatil 832,1000.32,90
130,Esmalte Vermelho 669,676.35,39
131,Pano de Microfibra 535,1983.59,71
132,Arroz Branco 832,450.04,84
133,Shampoo Anticaspa 419,1743.97,9
134,Camiseta Basica 671,213.77,2
135,Achocolatado em Po 914,539.52,67
136,Bermuda Esportiva 343,1391.12,24
137,Pulseira de Prata 427,475.62,50
138,Amaciante Concentrado 327,368.48,77
139,Camiseta Basica 631,316.84,18
140,Carteira de Couro 371,980.08,62
141,Macarrao Espaguete 525,1061.58,9
142,Lustra Moveis 250,1858.81,53
143,Pano de Microfibra 773,1527.23,52
144,Achocolatado em Po 186,1998.68,93
145,Desinfetante Floral 242,652.4,61
146,Leite Integral 257,962.48,6
147,Detergente Liquido 736,2022.72,64
148,Notebook 451,2091.82,78
149,Jaqueta de Couro 655,2036.41,57
150,Vassoura Retratil 715,1718.13,8
151,Mouse Gamer 288,1293.39,78
152,Notebook 281,1057.68,21
153,Carteira de Couro 742,616.16,20
154,Carteira de Couro 866,1440.51,64
155,Notebook 279,955.39,68
156,Pano de Microfibra 763,557.28,77
157,Sabao em Po 120,1466.53,92
158,Condicionador Hidratante 275,781.5,10
159,Amaciante Concentrado 455,1961.66,40
160,Oculos de Sol 690,799.36,76
161,Meias de Algodao 527,1076.42,98
162,Creme Hidratante 949,1711.31,65
163,Smartphone 124,2327.68,96
164,Mouse Gamer 947,2143.18,81
165,Carteira de Couro 993,72.27,67
166,Arroz Branco 443,864.55,2
167,Leite Integral 375,1827.28,19
168,Escova de Cabelo 120,986.31,7
169,Amaciante Concentrado 264,212.73,58
170,Achocolatado em Po 577,670.68,84
171,Meias de Algodao 836,2362.97,93
172,Vestido Floral 290,531.83,48
173,Vassoura Retratil 883,84.26,26
174,Esmalte Vermelho 201,1478.79,68
175,Bermuda Esportiva 504,984.52,82
176,Sabao em Po 302,916.0,22
177,Cafe Torrado 938,516.58,11
178,Lustra Moveis 273,1186.78,2
179,Vassoura Retratil 275,2471.98,8
180,Azeite de Oliva 883,1801.72,59
181,Chaveiro Metalico 912,1147.24,68
182,Pulseira de Prata 913,762.54,96
183,Feijao Carioca 712,1797.14,82
184,Arroz Branco 441,1812.14,20
185,Pano de Microfibra 350,2232.17,12
186,Protetor Solar FPS 50 860,1143.03,68
187,Bolacha Recheada 734,1004.43,65
188,Perfume Masculino 823,2059.81,91
189,Calca Jeans 397,594.88,96
190,Colar Dourado 682,149.88,88
191,Cafe Torrado 487,1268.6,72
192,Bermuda Esportiva 387,348.82,65
193,Shampoo Anticaspa 281,1358.69,12
194,Shampoo Anticaspa 732,494.56,82
195,Creme Hidratante 880,2195.35,22
196,Esmalte Vermelho 110,2487.69,94
197,Calca Jeans 737,1773.97,5
198,Smartwatch 512,2278.88,7
199,Smartwatch 596,685.08,13
200,Lustra Moveis 229,2203.85,43
201,Calca Jeans 301,1383.99,17
202,Bolacha Recheada 114,226.03,48
203,Amaciante Concentrado 798,1304.82,8
204,Oculos de Sol 524,1321.73,77
205,Notebook 199,97.5,99
206,Amaciante Concentrado 899,1782.46,88
207,Blusa de Frio 853,542.65,89
208,Carteira de Couro 267,914.99,56
209,Smartphone 585,1899.64,9
210,Sabao em Po 638,272.54,22
211,Sabao em Po 755,102.21,55
212,Perfume Masculino 409,978.47,62
213,Esmalte Vermelho 750,1294.61,40
214,Escova de Cabelo 986,1067.56,88
215,Amaciante Concentrado 268,2091.28,2
216,Azeite de Oliva 599,639.95,4
217,Escova de Cabelo 623,220.58,16
218,Vassoura Retratil 397,311.85,61
219,Pulseira de Prata 138,1248.19,89
220,Blusa de Frio 823,1869.31,23
221,Teclado Mecanico 553,965.5,51
222,Carteira de Couro 701,41.91,71
223,Desinfetante Floral 928,2353.9,100
224,Relogio de Pulso 288,706.53,71
225,Amaciante Concentrado 450,2013.59,40
226,Pano de Microfibra 766,466.31,1
227,Bolacha Recheada 869,1602.17,100
228,Carteira de Couro 229,658.59,1
229,Bermuda Esportiva 507,2490.6,68
230,Creme Hidratante 849,451.46,33
231,Pano de Microfibra 636,1872.57,57
232,Pulseira de Prata 524,597.31,36
233,Vassoura Retratil 735,2318.32,3
234,Pulseira de Prata 388,122.75,10
235,Amaciante Concentrado 710,2445.9,46
236,Detergente Liquido 701,671.6,36
237,Smartwatch 482,1324.22,27
238,Blusa de Frio 187,1423.18,66
239,Relogio de Pulso 195,2058.76,15
240,Arroz Branco 883,1352.26,96
241,Calca Jeans 152,2088.32,25
242,Teclado Mecanico 917,1478.29,94
243,Bermuda Esportiva 614,2478.52,45
244,Esponja Multiuso 776,173.63,72
245,Mouse Gamer 310,1397.4,72
246,Feijao Carioca 968,803.51,33
247,Amaciante Concentrado 719,924.54,6
248,Shampoo Anticaspa 261,201.15,52
249,Leite Integral 811,86.95,57
250,Condicionador Hidratante 201,485.34,92
251,Smartphone 327,1862.75,65
252,Creme Hidratante 629,2005.95,36
253,Lustra Moveis 832,633.13,63
254,Amaciante Concentrado 292,1329.81,76
255,Desinfetante Floral 921,850.45,73
256,Desinfetante Floral 200,2198.86,90
257,Smartwatch 373,35.47,76
258,Condicionador Hidratante 378,1744.31,33
259,Desinfetante Floral 962,1127.41,93
260,Oculos de Sol 911,2295.09,79
261,Perfume Masculino 432,1663.44,59
262,Bone 504,1733.33,36
263,Camiseta Basica 200,117.18,73
264,Notebook 384,227.06,78
265,Condicionador Hidratante 719,992.21,39
266,Azeite de Oliva 637,1074.94,52
267,Azeite de Oliva 503,1161.35,99
268,Desinfetante Floral 955,1587.38,87
269,Esponja Multiuso 578,426.89,25
270,Mochila Escolar 986,46.2,22
271,Desinfetante Floral 310,1590.88,60
272,Chaveiro Metalico 718,647.99,60
273,Azeite de Oliva 843,508.26,57
274,Caixa de Som Bluetooth 888,1921.41,31
275,Shampoo Anticaspa 149,1786.52,56
276,Esmalte Vermelho 412,418.97,12
277,Azeite de Oliva 213,2276.33,61
278,Detergente Liquido 625,1814.12,92
279,Mouse Gamer 561,2079.5,29
280,Caixa de Som Bluetooth 559,1483.23,58
281,Carteira de Couro 806,2496.36,64
282,Mouse Gamer 343,947.36,73
283,Jaqueta de Couro 547,2152.08,96
284,Meias de Algodao 681,2339.26,25
285,Pano de Microfibra 937,427.03,17
286,Feijao Carioca 587,2455.73,92
287,Colar Dourado 815,2293.45,22
288,Cafe Torrado 683,6.78,15
289,Caixa de Som Bluetooth 429,261.37,59
290,Teclado Mecanico 331,1558.51,34
291,Sabao em Po 950,1794.17,48
292,Achocolatado em Po 898,42.57,1
293,Meias de Algodao 142,1598.17,72
294,Teclado Mecanico 467,1549.39,88
295,Esponja Multiuso 712,622.12,10
296,Detergente Liquido 187,1944.49,58
297,Smartphone 412,1564.53,57
298,Feijao Carioca 980,1356.9,45
299,Notebook 680,542.36,20
300,Fone de Ouvido Bluetooth 292,1992.97,21
301,Shampoo Anticaspa 454,791.56,88
302,Meias de Algodao 985,1180.76,99
303,Fone de Ouvido Bluetooth 455,862.97,100
304,Condicionador Hidratante 466,2204.18,15
305,Calca Jeans 642,1991.45,78
306,Cinto Social 648,2375.4,56
307,Amaciante Concentrado 280,639.48,54
308,Escova de Cabelo 574,1088.67,17
309,Chaveiro Metalico 621,2330.99,39
310,Blusa de Frio 769,201.69,95
311,Pano de Microfibra 420,549.27,62
312,Colar Dourado 752,1300.55,84
313,Condicionador Hidratante 548,1192.32,9
314,Pano de Microfibra 640,2381.65,2
315,Esponja Multiuso 438,1582.16,30
316,Notebook 573,2435.77,33
317,Esponja Multiuso 609,111.48,86
318,Esponja Multiuso 399,290.62,17
319,Vestido Floral 179,851.02,15
320,Jaqueta de Couro 136,253.81,50
321,Perfume Masculino 558,421.92,81
322,Notebook 527,2258.49,44
323,Esponja Multiuso 405,84.74,18
324,Bolacha Recheada 197,1883.75,100
325,Smartwatch 619,1800.38,54
326,Escova de Cabelo 970,1134.91,2
327,Carregador Portatil 494,1379.54,44
328,Colar Dourado 981,2488.89,14
329,Carteira de Couro 394,2076.99,41
330,Leite Integral 820,2087.75,19
331,Lustra Moveis 789,1783.3,65
332,Perfume Masculino 882,165.84,63
333,Esmalte Vermelho 179,1808.57,86
334,Condicionador Hidratante 741,2071.67,56
335,Arroz Branco 508,780.44,45
336,Oculos de Sol 685,956.88,97
337,Detergente Liquido 151,1986.51,69
338,Vassoura Retratil 993,802.29,12
339,Vestido Floral 966,1966.36,13
340,Caixa de Som Bluetooth 548,169.01,29
341,Cinto Social 751,1808.86,8
342,Sabao em Po 869,2160.53,41
343,Sabonete Liquido 817,143.27,56
344,Mouse Gamer 115,1499.28,40
345,Leite Integral 230,1866.02,21
346,Sabonete Liquido 210,997.34,83
347,Shampoo Anticaspa 387,953.08,43
348,Bermuda Esportiva 435,2339.39,49
349,Jaqueta de Couro 699,1137.71,40
350,Azeite de Oliva 837,1764.47,50
351,Oculos de Sol 681,25.7,23
352,Cafe Torrado 184,1947.65,45
353,Jaqueta de Couro 176,2100.44,56
354,Pano de Microfibra 361,1997.9,51
355,Oculos de Sol 292,186.49,31
356,Calca Jeans 975,1287.78,59
357,Azeite de Oliva 441,1285.3,12
358,Jaqueta de Couro 110,396.61,42
359,Sabonete Liquido 250,276.88,8
360,Cinto Social 985,1221.22,51
361,Arroz Branco 901,1264.6,84
362,Arroz Branco 492,2275.26,62
363,Bone 397,1433.44,7
364,Camiseta Basica 810,831.86,84
365,Mouse Gamer 125,170.05,79
366,Colar Dourado 633,1949.71,76
367,Leite Integral 194,1893.54,34
368,Perfume Masculino 275,689.79,16
369,Pulseira de Prata 594,2215.51,78
370,Jaqueta de Couro 732,2251.78,65
371,Teclado Mecanico 422,2452.98,75
372,Protetor Solar FPS 50 269,1274.84,46
373,Detergente Liquido 175,850.59,16
374,Condicionador Hidratante 130,1630.21,74
375,Cafe Torrado 246,91.34,53
376,Detergente Liquido 211,797.97,67
377,Bermuda Esportiva 640,431.16,18
378,Blusa de Frio 964,2353.35,30
379,Vassoura Retratil 833,2330.46,85
380,Feijao Carioca 156,2143.59,53
381,Jaqueta de Couro 124,901.84,68
382,Shampoo Anticaspa 862,1119.73,44
383,Oculos de Sol 871,1503.77,57
384,Oculos de Sol 306,1480.55,71
385,Chaveiro Metalico 762,1202.22,29
386,Chaveiro Metalico 670,510.51,89
387,Fone de Ouvido Bluetooth 751,729.13,38
388,Perfume Masculino 515,287.05,37
389,Vestido Floral 845,2342.8,40
390,Protetor Solar FPS 50 837,1061.15,22
391,Relogio de Pulso 405,1347.42,47
392,Smartwatch 855,561.33,68
393,Detergente Liquido 437,1627.78,16
394,Detergente Liquido 967,1213.76,55
395,Cafe Torrado 771,84.28,28
396,Smartphone 303,2094.11,48
397,Cinto Social 432,1290.16,63
398,Chaveiro Metalico 942,2374.05,67
399,Protetor Solar FPS 50 495,1815.93,32
400,Fone de Ouvido Bluetooth 723,575.74,30
401,Sabao em Po 733,504.81,45
402,Protetor Solar FPS 50 843,159.58,17
403,Cafe Torrado 356,583.42,76
404,Creme Hidratante 984,1665.21,51
405,Condicionador Hidratante 486,772.87,64
406,Condicionador Hidratante 727,216.9,12
407,Pano de Microfibra 451,1285.49,32
408,Protetor Solar FPS 50 561,799.79,13
409,Mouse Gamer 924,242.56,15
410,Mochila Escolar 741,780.2,50
411,Relogio de Pulso 649,2180.03,36
412,Amaciante Concentrado 813,1825.4,79
413,Macarrao Espaguete 596,1394.51,100
414,Esmalte Vermelho 733,57.28,9
415,Detergente Liquido 464,403.7,85
416,Esmalte Vermelho 147,1544.51,33
417,Leite Integral 428,1032.67,54
418,Creme Hidratante 532,674.99,41
419,Desinfetante Floral 692,956.52,38
420,Feijao Carioca 769,1636.0,39
421,Smartwatch 356,500.24,18
422,Pano de Microfibra 866,34.73,19
423,Cafe Torrado 606,1859.34,54
424,Relogio de Pulso 563,1096.26,54
425,Pano de Microfibra 831,834.32,4
426,Sabao em Po 821,2192.47,40
427,Cinto Social 271,1175.54,23
428,Sabao em Po 186,199.23,67
429,Desinfetante Floral 450,552.54,77
430,Bone 262,2093.81,36
431,Bolacha Recheada 832,1219.29,74
432,Cafe Torrado 473,1322.2,72
433,Pano de Microfibra 970,2387.05,75
434,Meias de Algodao 489,25.35,67
435,Fone de Ouvido Bluetooth 917,1177.12,76
436,Macarrao Espaguete 497,332.9,89
437,Esmalte Vermelho 768,1020.25,95
438,Bermuda Esportiva 106,1462.74,2
439,Pano de Microfibra 276,395.4,45
440,Shampoo Anticaspa 768,494.92,81
441,Teclado Mecanico 765,1749.58,31
442,Calca Jeans 835,1704.13,52
443,Protetor Solar FPS 50 104,289.86,22
444,Vassoura Retratil 564,1241.26,92
445,Perfume Masculino 215,1195.82,96
446,Pulseira de Prata 257,1977.34,23
447,Colar Dourado 153,41.44,15
448,Cafe Torrado 397,1042.7,78
449,Notebook 905,441.94,83
450,Lustra Moveis 271,1904.1,16
451,Escova de Cabelo 581,2194.99,70
452,Notebook 953,2485.35,53
453,Vassoura Retratil 915,1975.75,71
454,Arroz Branco 960,2474.72,7
455,Escova de Cabelo 209,125.54,64
456,Colar Dourado 985,2115.98,17
457,Condicionador Hidratante 964,768.53,88
458,Detergente Liquido 872,1005.65,62
459,Jaqueta de Couro 414,1392.49,4
460,Escova de Cabelo 973,45.89,80
461,Bermuda Esportiva 768,433.21,54
462,Desinfetante Floral 917,1119.95,20
463,Caixa de Som Bluetooth 246,1532.76,8
464,Pano de Microfibra 599,1847.82,5
465,Macarrao Espaguete 886,2209.54,42
466,Mochila Escolar 134,847.87,13
467,Mouse Gamer 143,1827.98,34
468,Blusa de Frio 672,1713.02,10
469,Azeite de Oliva 131,733.43,86
470,Calca Jeans 636,2015.92,53
471,Feijao Carioca 667,775.04,4
472,Cinto Social 253,178.07,11
473,Chaveiro Metalico 192,1795.94,87
474,Bolacha Recheada 804,2236.22,57
475,Blusa de Frio 651,907.12,84
476,Sabao em Po 257,1063.23,74
477,Amaciante Concentrado 103,699.9,57
478,Mouse Gamer 139,1947.77,28
479,Relogio de Pulso 952,2031.97,87
480,Esmalte Vermelho 774,1750.41,15
481,Detergente Liquido 436,1844.25,27
482,Notebook 798,2343.4,41
483,Achocolatado em Po 839,1591.52,59
484,Mouse Gamer 613,1021.65,62
485,Vestido Floral 982,2274.62,92
486,Achocolatado em Po 921,529.46,92
487,Calca Jeans 528,2477.2,40
488,Detergente Liquido 717,538.44,22
489,Smartwatch 228,1155.51,13
490,Detergente Liquido 388,1879.32,94
491,Bolacha Recheada 168,2085.9,49
492,Teclado Mecanico 101,734.29,22
493,Jaqueta de Couro 330,1541.87,78
494,Oculos de Sol 231,927.01,89
495,Feijao Carioca 479,377.74,12
496,Cafe Torrado 382,1869.68,37
497,Fone de Ouvido Bluetooth 799,1180.23,41
498,Teclado Mecanico 448,2176.86,8
499,Smartphone 894,1843.36,96
500,Carteira de Couro 841,768.49,75
501,Camiseta Basica 287,1078.11,75
502,Camiseta Basica 110,145.8,88
503,Perfume Masculino 752,2204.83,36
504,Pano de Microfibra 369,749.18,45
505,Carteira de Couro 772,1742.43,80
506,Vestido Floral 785,1779.17,19
507,Lustra Moveis 792,436.56,78
508,Vestido Floral 131,1678.32,39
509,Amaciante Concentrado 350,1810.95,43
510,Detergente Liquido 571,1911.33,22
511,Perfume Masculino 433,182.46,11
512,Cinto Social 315,1577.32,93
513,Fone de Ouvido Bluetooth 327,798.68,20
514,Bermuda Esportiva 477,2111.29,97
515,Esponja Multiuso 130,2220.83,3
516,Caixa de Som Bluetooth 497,720.77,52
517,Cinto Social 816,49.11,12
518,Carregador Portatil 730,1999.36,15
519,Feijao Carioca 925,25.0,44
520,Chaveiro Metalico 780,2399.07,60
521,Pulseira de Prata 839,2340.55,31
522,Azeite de Oliva 411,2243.09,98
523,Bolacha Recheada 755,693.35,40
524,Pulseira de Prata 491,852.75,33
525,Vassoura Retratil 120,1150.32,42
526,Caixa de Som Bluetooth 382,64.34,61
527,Cinto Social 860,2057.3,81
528,Protetor Solar FPS 50 124,1265.7,44
529,Notebook 808,2385.04,79
530,Amaciante Concentrado 415,599.95,5
531,Leite Integral 192,52.98,72
532,Teclado Mecanico 901,191.57,84
533,Mouse Gamer 805,1626.76,88
534,Blusa de Frio 301,1428.26,65
535,Lustra Moveis 103,1397.15,39
536,Relogio de Pulso 185,439.97,28
537,Notebook 576,1154.61,7
538,Amaciante Concentrado 363,245.05,39
539,Relogio de Pulso 905,2497.96,14
540,Mochila Escolar 225,2007.26,57
541,Caixa de Som Bluetooth 494,2137.41,22
542,Azeite de Oliva 570,2156.93,21
543,Shampoo Anticaspa 647,62.11,77
544,Escova de Cabelo 777,1320.14,8
545,Sabonete Liquido 272,490.47,29
546,Bolacha Recheada 417,243.05,80
547,Bermuda Esportiva 587,1545.27,30
548,Camiseta Basica 859,888.55,68
549,Smartwatch 965,1007.96,61
550,Smartwatch 673,1337.22,90
551,Oculos de Sol 171,2494.68,19
552,Bone 158,2104.68,33
553,Esmalte Vermelho 152,2274.93,32
554,Lustra Moveis 703,2200.22,49
555,Feijao Carioca 632,49.62,8
556,Oculos de Sol 541,1866.96,60
557,Detergente Liquido 272,2326.32,97
558,Shampoo Anticaspa 413,304.48,47
559,Shampoo Anticaspa 415,49.06,28
560,Fone de Ouvido Bluetooth 928,89.45,93
561,Azeite de Oliva 279,1954.38,36
562,Jaqueta de Couro 287,2083.32,12
563,Vestido Floral 977,333.21,47
564,Carteira de Couro 533,1086.7,43
565,Arroz Branco 292,1924.3,10
566,Teclado Mecanico 931,1646.61,24
567,Desinfetante Floral 783,2493.38,82
568,Leite Integral 134,571.69,99
569,Macarrao Espaguete 290,1280.53,15
570,Smartphone 441,885.75,1
571,Azeite de Oliva 176,1456.01,51
572,Esmalte Vermelho 243,1557.34,30
573,Esmalte Vermelho 651,1679.54,91
574,Vestido Floral 877,857.21,17
575,Blusa de Frio 971,1867.99,94
576,Oculos de Sol 643,653.63,16
577,Vestido Floral 450,491.1,83
578,Shampoo Anticaspa 644,832.61,17
579,Colar Dourado 632,178.59,73
580,Sabao em Po 846,461.48,24
581,Cafe Torrado 242,2118.99,20
582,Vestido Floral 574,291.63,83
583,Bermuda Esportiva 972,1803.38,70
584,Esmalte Vermelho 506,2250.24,40
585,Carregador Portatil 315,2249.36,77
586,Protetor Solar FPS 50 259,193.94,75
587,Camiseta Basica 827,431.89,28
588,Sabao em Po 561,365.26,29
589,Azeite de Oliva 393,298.32,49
590,Calca Jeans 107,581.7,97
591,Smartphone 236,1759.62,29
592,Shampoo Anticaspa 715,1295.01,64
593,Vestido Floral 211,2198.57,62
594,Cinto Social 449,2057.93,14
595,Feijao Carioca 398,2417.69,62
596,Mochila Escolar 837,887.14,69
597,Desinfetante Floral 757,911.94,92
598,Fone de Ouvido Bluetooth 446,2213.25,38
599,Mochila Escolar 377,1830.72,74
600,Teclado Mecanico 666,2121.61,11
601,Carteira de Couro 710,146.39,67
602,Protetor Solar FPS 50 595,1897.37,42
603,Jaqueta de Couro 764,1793.76,21
604,Oculos de Sol 364,95.33,84
605,Camiseta Basica 818,942.61,88
606,Achocolatado em Po 805,174.62,27
607,Arroz Branco 880,513.38,35
608,Colar Dourado 999,269.72,87
609,Perfume Masculino 409,276.01,33
610,Carteira de Couro 536,1116.35,23
611,Bermuda Esportiva 249,1157.57,10
612,Protetor Solar FPS 50 212,1276.05,6
613,Lustra Moveis 772,1314.6,58
614,Smartphone 401,445.82,19
615,Protetor Solar FPS 50 943,372.94,66
616,Fone de Ouvido Bluetooth 882,744.01,98
617,Cinto Social 303,888.75,18
618,Arroz Branco 661,15.43,27
619,Achocolatado em Po 744,828.86,73
620,Perfume Masculino 163,966.7,71
621,Perfume Masculino 845,590.56,7
622,Chaveiro Metalico 453,272.65,92
623,Colar Dourado 333,845.63,32
624,Leite Integral 495,1891.86,32
625,Lustra Moveis 917,1293.5,26
626,Macarrao Espaguete 837,104.24,66
627,Camiseta Basica 131,1823.45,28
628,Smartphone 617,1886.46,53
629,Achocolatado em Po 157,508.83,95
630,Leite Integral 934,2339.4,69
631,Arroz Branco 790,490.03,8
632,Cinto Social 396,2482.24,60
633,Camiseta Basica 214,410.62,78
634,Calca Jeans 333,468.15,14
635,Mouse Gamer 353,739.24,5
636,Detergente Liquido 222,1318.34,36
637,Calca Jeans 339,250.35,12
638,Achocolatado em Po 444,1336.22,57
639,Cinto Social 245,2123.91,71
640,Mochila Escolar 226,2339.28,76
641,Bermuda Esportiva 390,958.8,81
642,Pulseira de Prata 427,866.5,95
643,Perfume Masculino 577,2186.39,8
644,Feijao Carioca 302,2283.31,70
645,Oculos de Sol 268,2287.13,66
646,Notebook 142,620.17,65
647,Escova de Cabelo 930,2334.89,17
648,Fone de Ouvido Bluetooth 936,1332.37,64
649,Carregador Portatil 890,584.44,64
650,Esponja Multiuso 745,1797.65,48
651,Desinfetante Floral 728,449.59,75
652,Sabonete Liquido 785,1040.14,35
653,Teclado Mecanico 632,1266.87,35
654,Jaqueta de Couro 651,2286.5,70
655,Carregador Portatil 866,1943.0,5
656,Calca Jeans 770,803.6,28
657,Meias de Algodao 672,379.77,63
658,Shampoo Anticaspa 751,2127.28,84
659,Mouse Gamer 744,1789.6,75
660,Arroz Branco 238,2039.05,31
661,Calca Jeans 261,1137.89,98
662,Carregador Portatil 474,1564.56,54
663,Vassoura Retratil 609,1721.2,30
664,Chaveiro Metalico 780,2150.68,21
665,Teclado Mecanico 435,2104.86,95
666,Creme Hidratante 155,1988.14,76
667,Colar Dourado 414,659.56,83
668,Bermuda Esportiva 787,1814.04,34
669,Smartwatch 721,1718.08,47
670,Cinto Social 633,1014.58,85
671,Achocolatado em Po 314,487.08,95
672,Carregador Portatil 599,778.93,36
673,Bermuda Esportiva 468,2449.06,34
674,Azeite de Oliva 468,2309.89,73
675,Calca Jeans 519,1512.39,28
676,Cinto Social 529,2394.68,68
677,Chaveiro Metalico 716,1647.73,37
678,Jaqueta de Couro 458,422.33,57
679,Arroz Branco 852,1823.15,76
680,Detergente Liquido 777,2182.08,12
681,Macarrao Espaguete 542,2485.05,99
682,Meias de Algodao 638,1992.52,74
683,Mochila Escolar 856,366.67,87
684,Smartphone 863,1197.33,46
685,Amaciante Concentrado 825,1655.81,53
686,Vestido Floral 706,2163.44,7
687,Cafe Torrado 488,1115.56,59
688,Jaqueta de Couro 854,811.55,8
689,Vassoura Retratil 495,2234.01,41
690,Meias de Algodao 588,596.38,48
691,Fone de Ouvido Bluetooth 824,1734.73,28
692,Shampoo Anticaspa 642,2430.19,84
693,Mouse Gamer 981,617.57,82
694,Relogio de Pulso 384,695.23,49
